ax_0_0_plot_000_x,ax_0_0_plot_000_y,ax_1_0_plot_001_x,ax_1_0_plot_001_y,ax_2_0_plot_002_x,ax_2_0_plot_002_y,ax_3_0_plot_003_x,ax_3_0_plot_003_y,ax_4_0_plot_004_x,ax_4_0_plot_004_y,ax_5_0_plot_005_x,ax_5_0_plot_005_y,ax_6_0_plot_006_x,ax_6_0_plot_006_y,ax_7_0_plot_007_x,ax_7_0_plot_007_y
0.0,-0.12545988,0.0,0.65936446,0.0,0.39198592,0.0,1.0,0.0,1.28511915e-11,0.0,-0.2674932,0.0,2.523169,0.0,-1.0250411
0.001953125,0.45071432,0.001953125,0.7422991,0.001953125,-0.05200294,0.001953125,0.99626946,0.001953125,7.8980084e-13,0.001953125,-0.29015866,0.001953125,0.30144316,0.001953125,-1.2392324
0.00390625,0.23199394,0.00390625,1.1632153,0.00390625,-0.3716954,0.00390625,0.9474179,0.00390625,5.517448e-13,0.00390625,-0.3914995,0.00390625,-0.021208847,0.00390625,-0.40301436
0.005859375,0.09865849,0.005859375,-0.22917397,0.005859375,0.19703129,0.005859375,0.8537363,0.005859375,1.4965877e-11,0.005859375,-0.44668087,0.005859375,1.1498674,0.005859375,-0.27866888
0.0078125,-0.34398136,0.0078125,-1.4611173,0.0078125,0.2948176,0.0078125,0.71765643,0.0078125,1.2704198e-11,0.0078125,-0.3164884,0.0078125,-1.119864,0.0078125,-0.62266654
0.009765625,-0.34400547,0.009765625,0.76117057,0.009765625,-0.3120634,0.009765625,0.543746,0.009765625,-6.6561074e-13,0.009765625,-0.21758048,0.009765625,0.20003647,0.009765625,0.02875936
0.01171875,-0.44191638,0.01171875,-0.90156525,0.01171875,-0.1730565,0.01171875,0.33859572,0.01171875,-5.734145e-13,0.01171875,-0.23830497,0.01171875,1.6114485,0.01171875,1.1535589
0.013671875,0.36617616,0.013671875,-0.83552414,0.013671875,0.3795867,0.013671875,0.11059855,0.013671875,9.023835e-13,0.013671875,-0.3704493,0.013671875,1.9285611,0.013671875,0.569053
0.015625,0.10111501,0.015625,-0.2707051,0.015625,0.024949113,0.015625,-0.13037468,0.015625,3.0214106e-12,0.015625,-0.43605292,0.015625,-0.10089157,0.015625,0.8357858
0.017578125,0.20807257,0.017578125,0.7991896,0.017578125,-0.38932136,0.017578125,-0.3733921,0.017578125,2.5242941e-12,0.017578125,-0.46339193,0.017578125,0.11996439,0.017578125,-0.5785433
0.01953125,-0.4794155,0.01953125,0.42973015,0.01953125,0.12695655,0.01953125,-0.606954,0.01953125,1.8421308e-12,0.01953125,-0.55670464,0.01953125,1.0755327,0.01953125,1.4335666
0.021484375,0.46990985,0.021484375,1.0317093,0.021484375,0.33978537,0.021484375,-0.81954044,0.021484375,-2.0481208e-12,0.021484375,-0.40901127,0.021484375,0.84231657,0.021484375,2.2606397
